grid,date.closed,date.open,grid.portion,comment
GY56,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GY57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GZ57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HA57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HB55,5/8/2021,5/19/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F & CFA12E
HB56,5/8/2021,5/19/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GX55,5/9/2021,5/20/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HB35,5/14/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
HB36,5/14/2021,6/1/2021,>20 Fathom ,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
HB37,5/14/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
GZ51,5/15/2021,5/31/2021,>20 Fathom ,48 hour Gear Removal - High Impact CFA12E; Medium Impact: CFA12F; CFA12
GX44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GX45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ46,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GV41,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GV42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GV43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GX42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GX43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GY42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW51,5/29/2021,6/8/2021,Full Grid,96 hour Gear Removal
GX46,5/18/2021,6/15/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY46,5/18/2021,6/15/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GU47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GU48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GU49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW46,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GY47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GY48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GY49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
HB38,6/5/2021,6/16/2021,Full Grid,72 hour Gear Removal  - CFA12 - Medium Impact; LFA23C - Low Impact; GFA 4T3B - Low Impact
HB39,6/5/2021,6/16/2021,Full Grid,72 hour Gear Removal  - CFA12 - Medium Impact; LFA23C - Low Impact; GFA 4T3B - Low Impact
HB40,6/5/2021,6/16/2021,Full Grid,72 hour Gear Removal  - CFA12 - Medium Impact; LFA23C - Low Impact; GFA 4T3B - Low Impact
HB37,6/8/2021,6/17/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HC37,6/8/2021,6/17/2021,>20 Fathom ,120 hour Gear Removal  - CFA12 Low Impact
HC38,6/8/2021,6/17/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HC39,6/8/2021,6/17/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GW43,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GW44,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GW45,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GX43,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GX44,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GX45,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GY43,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HB41,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HB42,6/8/2021,6/22/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GZ34,6/8/2021,6/22/2021,>20 Fathom ,48 hour Gear Removal - CFA12 - Low-Medium Impact
GY42,6/15/2021,6/29/2021,Full Grid,72 hour Gear Removal  - High Winds
HB34,6/17/2021,6/29/2021,>20 Fathom ,48 hour Gear Removal  
HC34,6/17/2021,6/29/2021,>20 Fathom ,48 hour Gear Removal  
HC35,6/17/2021,6/29/2021,Full Grid,48 hour Gear Removal  
HC36,6/17/2021,6/29/2021,>20 Fathom ,48 hour Gear Removal  
GU35,6/19/2021,6/30/2021,>20 Fathom ,48 hour Gear Removal  
GV35,6/19/2021,6/30/2021,>20 Fathom ,48 hour Gear Removal  
GW35,6/19/2021,6/30/2021,Full Grid,48 hour Gear Removal  
GT38,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GT39,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GT40,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GU38,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GU39,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GU40,6/25/2021,7/6/2021,Full Grid,72 hour Gear Removal  - High Winds
GY44,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GY45,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GZ44,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GZ45,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GZ46,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HA44,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HA45,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
HA46,6/8/2021,7/8/2021,Full Grid,120 hour Gear Removal  - CFA12 Low Impact
GY46,6/22/2021,7/8/2021,Full Grid,72 hour Gear Removal  - High Winds
GM31,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GM32,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GM33,6/28/2021,7/8/2021,>20 Fathom ,96 hour Gear Removal
GN31,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GN32,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GN33,6/28/2021,7/8/2021,>20 Fathom ,96 hour Gear Removal
GO31,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GO32,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GO33,6/28/2021,7/8/2021,Full Grid,96 hour Gear Removal
GP22,7/3/2021,7/8/2021,Full Grid,72 hour Gear Removal  - Low Impact Greenland Halibut
GP23,7/3/2021,7/8/2021,Full Grid,72 hour Gear Removal  - Low Impact Greenland Halibut
GP24,7/3/2021,7/8/2021,Full Grid,72 hour Gear Removal  - Low Impact Greenland Halibut
GQ22,7/3/2021,7/8/2021,>20 Fathom ,72 hour Gear Removal  - Low Impact Greenland Halibut
GQ23,7/3/2021,7/8/2021,>20 Fathom ,72 hour Gear Removal  - Low Impact Greenland Halibut
GQ24,7/3/2021,7/8/2021,>20 Fathom ,72 hour Gear Removal  - Low Impact Greenland Halibut
GR22,7/3/2021,7/8/2021,>20 Fathom ,72 hour Gear Removal  - Low Impact Greenland Halibut
HB37,6/22/2021,7/13/2021,Full Grid,72 hour Gear Removal  - High Winds
HB38,6/22/2021,7/13/2021,Full Grid,72 hour Gear Removal  - High Winds
HB39,6/22/2021,7/13/2021,Full Grid,72 hour Gear Removal  - High Winds
GT35,7/10/2021,7/22/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
GT36,7/10/2021,7/22/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
GU35,7/10/2021,7/27/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
GV35,7/10/2021,7/27/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
GU36,7/10/2021,7/27/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
GV36,7/10/2021,7/27/2021,>10 Fathom,72 hour Gear Removal  - Low Impact LFA19C
HE48,7/19/2021,7/30/2021,Full Grid,72 hour Gear Removal  - No Impact
HE49,7/19/2021,7/30/2021,Full Grid,72 hour Gear Removal  - No Impact
HE50,7/19/2021,7/30/2021,>20 Fathom ,72 hour Gear Removal  - No Impact
HF48,7/19/2021,7/30/2021,Full Grid,72 hour Gear Removal  - No Impact
HF49,7/19/2021,7/30/2021,Full Grid,72 hour Gear Removal  - No Impact
HF50,7/19/2021,7/30/2021,Full Grid,72 hour Gear Removal  - No Impact
HG48,7/19/2021,7/30/2021,>20 Fathom ,72 hour Gear Removal  - No Impact
HG49,7/19/2021,7/30/2021,>20 Fathom ,72 hour Gear Removal  - No Impact
HG50,7/19/2021,7/30/2021,>20 Fathom ,72 hour Gear Removal  - No Impact
GT38,7/23/2021,8/6/2021,Full Grid,48 hour Gear Removal - Low impact turbot 4T3a
GU38,7/23/2021,8/6/2021,Full Grid,48 hour Gear Removal - Low impact turbot 4T3a
GT45,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GT46,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GT47,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GU45,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GU46,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GU47,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GV45,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GV46,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GV47,7/29/2021,8/10/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GL36,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GL37,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GL38,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GM36,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GM37,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GM38,7/24/2021,8/10/2021,>20 Fathom ,48 hour Gear Removal
GV43,7/24/2021,8/11/2021,Full Grid,48 hour Gear Removal
GT48,7/30/2021,8/11/2021,Full Grid,48 Hour Gear Removal
GU48,7/30/2021,8/11/2021,Full Grid,48 Hour Gear Removal
GV48,7/30/2021,8/11/2021,Full Grid,48 Hour Gear Removal
GW44,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
GW45,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
GX44,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
GX45,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
GY44,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
GY45,8/2/2021,8/12/2021,Full Grid,96 Hour Gear Removal
HB37,7/29/2021,8/13/2021,Full Grid,72 hour Gear Removal - Low Impact Greenland Halibut
GY43,8/2/2021,8/13/2021,Full Grid,96 Hour Gear Removal
GX43,8/2/2021,8/13/2021,Full Grid,96 Hour Gear Removal
GW43,8/2/2021,8/13/2021,Full Grid,96 Hour Gear Removal
GZ34,8/2/2021,8/13/2021,>20 Fathom ,72 hour Gear Removal - Low Impact NAFO 4T
GR42,8/6/2021,8/17/2021,Full Grid,72 hour Gear Removal - Low Impact NAFO 4T
GR43,8/6/2021,8/17/2021,>20 Fathom ,72 hour Gear Removal - Low Impact NAFO 4T
GR44,8/6/2021,8/17/2021,>20 Fathom ,72 hour Gear Removal - Low Impact NAFO 4T
GS42,8/6/2021,8/17/2021,Full Grid,72 hour Gear Removal - Low Impact NAFO 4T
GT40,8/6/2021,8/17/2021,Full Grid,72 hour Gear Removal - Low Impact NAFO 4T
GU40,8/6/2021,8/17/2021,Full Grid,72 hour Gear Removal - Low Impact NAFO 4T
HE43,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HE44,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HE45,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
GW42,8/11/2021,8/24/2021,Full Grid,48 Hour Gear Removal
HD42,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HD43,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HC42,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HC43,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HB42,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
HB43,8/9/2021,8/24/2021,Full Grid,96 hour Gear Removal - Low impact NAFO 4T; LFA 24; WHELK 5;9;10;11
GU42,5/17/2019,5/28/2019,> 20(fth) Outside DZ,Opened May 28; 2019 at 17:00 hrs Atlantic time
GU43,5/17/2019,5/28/2019,> 20(fth) Outside DZ,Opened May 28; 2019 at 17:00 hrs Atlantic time
GU44,5/17/2019,5/31/2019,> 20(fth) Outside DZ,
GV42,5/17/2019,5/31/2019,> 20(fth) Outside DZ,
GV43,5/17/2019,5/31/2019,> 20(fth) Outside DZ,
GW36,5/21/2019,6/1/2019,> 20(fth) Inside DZ,
GU36,5/21/2019,6/1/2019,> 20(fth) Inside DZ,
GV36,5/21/2019,6/1/2019,> 20(fth) Inside DZ,
GV43,5/17/2019,6/4/2019,> 20(fth) Inside DZ,Opened June 4; 2019 at 17:00 hrs Atlantic Daylight Time (ADT)
GY47,5/24/2019,6/7/2019,> 20(fth) Inside DZ,Opened June 7; 2019 at 17:00 hrs Atlantic Daylight Time (ADT)
IA30,6/9/2019,6/27/2019,> 20(fth) MAR,Revocation of all associated VO’s for Roseway Basin will come into effect at 1300hrs on June 27th.
IA31,6/9/2019,6/27/2019,> 20(fth) MAR,Revocation of all associated VO’s for Roseway Basin will come into effect at 1300hrs on June 27th.
IB30,6/9/2019,6/27/2019,> 20(fth) MAR,Revocation of all associated VO’s for Roseway Basin will come into effect at 1300hrs on June 27th.
IB31,6/9/2019,6/27/2019,> 20(fth) MAR,Revocation of all associated VO’s for Roseway Basin will come into effect at 1300hrs on June 27th.
GW36,6/13/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GW45,5/17/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GX45,5/17/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GX46,6/3/2019,7/18/2019,> 20(fth) Outside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GX46,5/24/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ41,6/6/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HB36,6/25/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HB37,6/25/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HB38,7/2/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HC36,6/25/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HC37,6/25/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HC38,7/2/2019,7/18/2019,> 20(fth) Inside DZ,Opening on July 18; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HA41,6/6/2019,7/22/2019,> 20(fth) Inside DZ,Opening on July 22; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ42,6/6/2019,7/25/2019,> 20(fth) Inside DZ,Opening on July 25; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GV42,6/30/2019,7/26/2019,> 20(fth) Outside DZ,Opening on July 26; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GW43,5/17/2019,7/26/2019,> 20(fth) Inside DZ,Opening on July 26; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GX43,5/17/2019,7/26/2019,> 20(fth) Inside DZ,Opening on July 26; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GY43,5/24/2019,7/26/2019,> 20(fth) Inside DZ,Opening on July 26; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GS40,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GS41,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GS42,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GT40,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GT41,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GT42,7/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GU36,6/13/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GU42,6/30/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GV36,6/13/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GV44,5/17/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GV45,5/17/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GV46,6/3/2019,7/31/2019,> 20(fth) Outside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ40,6/25/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ40,7/11/2019,7/31/2019,> 20(fth) GSL DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ43,6/6/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GZ44,6/20/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HB35,6/25/2019,7/31/2019,> 20(fth) Inside DZ,Opening on July 31; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GL36,7/16/2019,8/1/2019,> 20(fth) GSL DZ,Opening on August 1; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HC35,6/25/2019,8/1/2019,> 20(fth) Inside DZ,Opening on August 1; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GU39,6/3/2019,8/6/2019,> 20(fth) Inside DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
GU39,7/16/2019,8/6/2019,> 20(fth) GSL DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HA37,6/25/2019,8/6/2019,> 20(fth) Inside DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HA37,7/9/2019,8/6/2019,> 20(fth) GSL DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HA38,6/25/2019,8/6/2019,> 20(fth) Inside DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
HA38,7/9/2019,8/6/2019,> 20(fth) GSL DZ,Opening on August 6; 2019 at 5:00 p.m. Atlantic Daylight Time (ADT)
