"date","tow.id","swept.area","swept.area.method"
2023-07-10,"GP354F",2613.8,"TMB"
2023-07-10,"GP351F",2744.3,"TMB"
2023-07-10,"GP353F",2107.4,"TMB"
2023-07-10,"GP352F",2173.7,"TMB"
2023-07-10,"GP350F",2892.4,"TMB"
2023-07-10,"GP346F",2844.9,"TMB"
2023-07-10,"GP342F",2676.6,"TMB"
2023-07-10,"GP043F",2722.1,"TMB"
2023-07-10,"GP225F",2559.7,"TMB"
2023-07-10,"GP323F",1914.6,"TMB"
2023-07-10,"GP328F",2334.7,"TMB"
2023-07-10,"GP321F",2252.2,"TMB"
2023-07-10,"GP310F",2260.7,"TMB"
2023-07-12,"GP308F",2351.9,"TMB"
2023-07-12,"GP314F",2236.5,"TMB"
2023-07-13,"GP325F",2081.6,"TMB"
2023-07-13,"GP335F",2445.4,"TMB"
2023-07-13,"GP344F",3000.3,"TMB"
2023-07-13,"GP341F",3280.7,"TMB"
2023-07-13,"GP331F",2782.2,"TMB"
2023-07-13,"GP326F",2401.4,"TMB"
2023-07-13,"GP315F",1606.3,"TMB"
2023-07-13,"GP324FR1",3233.8,"TMB"
2023-07-13,"GP320F",2644.1,"TMB"
2023-07-13,"GP312F",3075.5,"TMB"
2023-07-13,"GP313F",2932.3,"TMB"
2023-07-14,"GP303F",2541.9,"TMB"
2023-07-14,"GP287F",2668.9,"TMB"
2023-07-14,"GP290F",2574.5,"TMB"
2023-07-14,"GP295F",2401.3,"TMB"
2023-07-14,"GP316F",1907.9,"TMB"
2023-07-14,"GP293F",1729.2,"TMB"
2023-07-14,"GP282F",2468.4,"TMB"
2023-07-14,"GP273F",2425.7,"TMB"
2023-07-14,"GP260F",2952.5,"TMB"
2023-07-14,"GP269F",6846.2,"TMB"
2023-07-15,"GP250F",3292.8,"TMB"
2023-07-15,"GP235F",2633.7,"TMB"
2023-07-15,"GP334F",2179.1,"TMB"
2023-07-15,"GP207F",4117.6,"TMB"
2023-07-15,"GP208F",2772.6,"TMB"
2023-07-15,"GP181FR1",3040,"TMB"
2023-07-15,"GP187F",2746.1,"TMB"
2023-07-15,"GP166F",3055.7,"TMB"
2023-07-16,"GP156F",2642.3,"TMB"
2023-07-16,"GP203F",2690.7,"TMB"
2023-07-16,"GP134F",1805.9,"TMB"
2023-07-16,"GP121F",2722.9,"TMB"
2023-07-16,"GP142F",2645.9,"TMB"
2023-07-16,"GP122F",2695.1,"TMB"
2023-07-16,"GP109F",3059.1,"TMB"
2023-07-16,"GP120F",2134.2,"TMB"
2023-07-16,"GP098F",2699.1,"TMB"
2023-07-17,"GP038F",3695.9,"TMB"
2023-07-17,"GP035FR1",2996.6,"TMB"
2023-07-17,"GP081F",3436.1,"TMB"
2023-07-17,"GP085F",2855.9,"TMB"
2023-07-18,"GP072FR1",2600.1,"TMB"
2023-07-18,"GP078F",3643.8,"TMB"
2023-07-18,"GP083F",2922.1,"TMB"
2023-07-18,"GP107F",2634.2,"TMB"
2023-07-18,"GP096F",3239.7,"TMB"
2023-07-18,"GP115F",3209.5,"TMB"
2023-07-18,"GP130F",2276,"TMB"
2023-07-18,"GP138F",2528,"TMB"
2023-07-18,"GP165F",2954.5,"TMB"
2023-07-18,"GP152F",3071.6,"TMB"
2023-07-19,"GP153F",3346.4,"TMB"
2023-07-19,"GP169F",2818.3,"TMB"
2023-07-19,"GP180F",2661.4,"TMB"
2023-07-19,"GP185F",3210.8,"TMB"
2023-07-19,"GP201F",2640.1,"TMB"
2023-07-19,"GP200F",2745.5,"TMB"
2023-07-19,"GP217F",2799,"TMB"
2023-07-19,"GP227F",2839.8,"TMB"
2023-07-19,"GP230F",2756.7,"TMB"
2023-07-19,"GP249FR1",2499.5,"TMB"
2023-07-24,"GP265F",1151.9,"TMB"
2023-07-24,"GP234FR1",2272.8,"TMB"
2023-07-24,"GP214F",2447.9,"TMB"
2023-07-25,"GP220F",2979.3,"TMB"
2023-07-25,"GP233F",2789.3,"TMB"
2023-07-25,"GP229F",2854.5,"TMB"
2023-07-25,"GP244FR1",2861.5,"TMB"
2023-07-25,"GP255F",2777,"TMB"
2023-07-25,"GP252F",2583.6,"TMB"
2023-07-26,"GP245FR1",3279.3,"TMB"
2023-07-26,"GP248F",2699.4,"TMB"
2023-07-26,"GP263F",2951.2,"TMB"
2023-07-26,"GP259F",2701.8,"TMB"
2023-07-26,"GP292FR1",3119.4,"TMB"
2023-07-27,"GP192F",1639.3,"TMB"
2023-07-27,"GP197FR1",2269.7,"TMB"
2023-07-27,"GP189FR1",2608.9,"TMB"
2023-07-27,"GP174F",2547.2,"TMB"
2023-07-27,"GP162F",2440.5,"TMB"
2023-07-27,"GP154FR2",2270.1,"TMB"
2023-07-27,"GP170F",2701.5,"TMB"
2023-07-27,"GP141F",2141.1,"TMB"
2023-07-27,"GP133F",1627.6,"TMB"
2023-07-27,"GP128F",3214.8,"TMB"
2023-07-28,"GP147F",3243.1,"TMB"
2023-07-28,"GP159F",2868.3,"TMB"
2023-07-28,"GP184F",1869.2,"TMB"
2023-07-28,"GP202F",2736.6,"TMB"
2023-07-28,"GP206FR1",2619.2,"TMB"
2023-07-28,"GP198F",2971.1,"TMB"
2023-07-28,"GP179F",2265.2,"TMB"
2023-07-28,"GP176F",2793.1,"TMB"
2023-07-28,"GP158F",2490.7,"TMB"
2023-07-28,"GP149F",2740,"TMB"
2023-07-28,"GP127F",2722.8,"TMB"
2023-07-28,"GP113F",2611.3,"TMB"
2023-07-29,"GP123F",2250.8,"TMB"
2023-07-29,"GP099F",2310.6,"TMB"
2023-07-29,"GP094F",2768.3,"TMB"
2023-07-29,"GP077F",2578.1,"TMB"
2023-07-29,"GP084FR1",2469.3,"TMB"
2023-07-29,"GP088FR2",3216.6,"TMB"
2023-07-29,"GP106F",2792.2,"TMB"
2023-07-30,"GP125FR1",2761,"TMB"
2023-07-30,"GP163F",2775.3,"TMB"
2023-07-30,"GP164F",1981.8,"TMB"
2023-07-30,"GP151F",2656.4,"TMB"
2023-07-30,"GP124F",3349.3,"TMB"
2023-07-30,"GP105F",3145.7,"TMB"
2023-07-30,"GP080F",4541,"TMB"
2023-07-30,"GP076F",3185.1,"TMB"
2023-07-30,"GP068F",3251,"TMB"
2023-07-31,"GP049FR1",2451.2,"TMB"
2023-07-31,"GP061F",2758,"TMB"
2023-07-31,"GP067F",3653.2,"TMB"
2023-07-31,"GP048F",2934.6,"TMB"
2023-07-31,"GP066F",2600.1,"TMB"
2023-07-31,"GP070F",2622.2,"TMB"
2023-07-31,"GP047F",3091.1,"TMB"
2023-07-31,"GP050F",2650.7,"TMB"
2023-07-31,"GP044FR1",2387.4,"TMB"
2023-07-31,"GP046F",2491.2,"TMB"
2023-07-31,"GP036F",2045.1,"TMB"
2023-07-31,"GP026F",2968.9,"TMB"
2023-08-01,"GP024F",2709.9,"TMB"
2023-08-01,"GP025F",2874,"TMB"
2023-08-01,"GP023F",2076.4,"TMB"
2023-08-01,"GP016F",2285,"TMB"
2023-08-01,"GP019F",2830.3,"TMB"
2023-08-01,"GP018F",2274.1,"TMB"
2023-08-01,"GP028F",2088.6,"TMB"
2023-08-01,"GP032F",1822.7,"TMB"
2023-08-01,"GP022F",3238.7,"TMB"
2023-08-01,"GP030F",2517.1,"TMB"
2023-08-01,"GP040F",2347.2,"TMB"
2023-08-01,"GP042F",2353.7,"TMB"
2023-08-02,"GP052F",2787.1,"TMB"
2023-08-02,"GP051F",2811.1,"TMB"
2023-08-02,"GP041F",2531.3,"TMB"
2023-08-02,"GP031F",2643,"TMB"
2023-08-02,"GP045F",2974.2,"TMB"
2023-08-02,"GP053F",2961.5,"TMB"
2023-08-02,"GP062F",2324.3,"TMB"
2023-08-02,"GP060F",2311.3,"TMB"
2023-08-02,"GP082F",3108.2,"TMB"
2023-08-03,"GP055F",3513.9,"TMB"
2023-08-03,"GP021F",2493,"TMB"
2023-08-03,"GP017F",3623.2,"TMB"
2023-08-03,"GP015F",1817.2,"TMB"
2023-08-07,"GP009F",3703.6,"TMB"
2023-08-07,"GP008F",2224.9,"TMB"
2023-08-07,"GP006F",3498.5,"TMB"
2023-08-07,"GP004F",1674.6,"TMB"
2023-08-07,"GP002F",1939,"TMB"
2023-08-08,"GP001F",2629.1,"TMB"
2023-08-08,"GP003F",1885.7,"TMB"
2023-08-08,"GP005F",3068.9,"TMB"
2023-08-08,"GP007F",2400.7,"TMB"
2023-08-08,"GP011F",1668.1,"TMB"
2023-08-08,"GP010F",2843.4,"TMB"
2023-08-08,"GP012F",2055.6,"TMB"
2023-08-08,"GP013F",2300.6,"TMB"
2023-08-08,"GP020F",2879.5,"TMB"
2023-08-08,"GP014F",3558.4,"TMB"
2023-08-11,"GP054F",2608.3,"TMB"
2023-08-11,"GP064F",3047.2,"TMB"
2023-08-11,"GP074F",2456.4,"TMB"
2023-08-11,"GP056F",2942.5,"TMB"
2023-08-11,"GP057F",2612,"TMB"
2023-08-11,"GP033F",3000.2,"TMB"
2023-08-11,"GP027F",3525,"TMB"
2023-08-11,"GP034F",3188.8,"TMB"
2023-08-12,"GP059F",2837,"TMB"
2023-08-12,"GP065F",2692.8,"TMB"
2023-08-12,"GP086F",2642.5,"TMB"
2023-08-12,"GP103F",3043.5,"TMB"
2023-08-12,"GP089F",3514.1,"TMB"
2023-08-12,"GP073F",1614.2,"TMB"
2023-08-12,"GP058F",2525.6,"TMB"
2023-08-13,"GP029F",2400.8,"TMB"
2023-08-13,"GP037F",3459.9,"TMB"
2023-08-13,"GP071F",2542.4,"TMB"
2023-08-13,"GP118F",2747.8,"TMB"
2023-08-13,"GP075F",3655.1,"TMB"
2023-08-13,"GP139F",2650,"TMB"
2023-08-13,"GP114F",3663.9,"TMB"
2023-08-13,"GP101F",2278.6,"TMB"
2023-08-13,"GP087F",3094.1,"TMB"
2023-08-13,"GP069F",2798.7,"TMB"
2023-08-13,"GP063F",2853.7,"TMB"
2023-08-14,"GP092F",2719.9,"TMB"
2023-08-14,"GP100FR1",3900.1,"TMB"
2023-08-14,"GP126F",3183.3,"TMB"
2023-08-14,"GP143F",2656.4,"TMB"
2023-08-14,"GP157F",2592.2,"TMB"
2023-08-14,"GP172F",3418.5,"TMB"
2023-08-14,"GP183F",3723.2,"TMB"
2023-08-14,"GP204F",2994.1,"TMB"
2023-08-14,"GP236F",3158,"TMB"
2023-08-14,"GP243F",2940.2,"TMB"
2023-08-14,"GP257F",2844.3,"TMB"
2023-08-14,"GP261F",3156.5,"TMB"
2023-08-15,"GP278F",3218.6,"TMB"
2023-08-15,"GP281F",2666.4,"TMB"
2023-08-15,"GP258F",2431.7,"TMB"
2023-08-15,"GP223F",2795.9,"TMB"
2023-08-15,"GP209F",2984.1,"TMB"
2023-08-15,"GP193F",2441.8,"TMB"
2023-08-15,"GP178F",2774.3,"TMB"
2023-08-15,"GP168F",3171.9,"TMB"
2023-08-15,"GP175F",2747.9,"TMB"
2023-08-16,"GP195F",2937.4,"TMB"
2023-08-16,"GP216F",2446.7,"TMB"
2023-08-16,"GP228F",3231.4,"TMB"
2023-08-16,"GP242F",2600.7,"TMB"
2023-08-16,"GP253F",2316.6,"TMB"
2023-08-16,"GP239F",1972.1,"TMB"
2023-08-16,"GP224F",2051,"TMB"
2023-08-16,"GP213F",2597.9,"TMB"
2023-08-16,"GP205F",3370.2,"TMB"
2023-08-16,"GP222F",2714.4,"TMB"
2023-08-16,"GP211F",2779.8,"TMB"
2023-08-16,"GP219F",3018.6,"TMB"
2023-08-16,"GP212F",2501,"TMB"
2023-08-17,"GP215FR1",2866.4,"TMB"
2023-08-17,"GP240F",2232.8,"TMB"
2023-08-17,"GP221F",2609.9,"TMB"
2023-08-17,"GP232F",2748.8,"TMB"
2023-08-22,"GP210FR1",2521.7,"TMB"
2023-08-22,"GP191F",3156.2,"TMB"
2023-08-22,"GP177FR1",2571.1,"TMB"
2023-08-22,"GP190F",2751.3,"TMB"
2023-08-22,"GP196F",2590.6,"TMB"
2023-08-22,"GP188F",2649.4,"TMB"
2023-08-22,"GP161F",2879.3,"TMB"
2023-08-22,"GP160F",2364.1,"TMB"
2023-08-22,"GP146F",2648.7,"TMB"
2023-08-22,"GP116F",2430.9,"TMB"
2023-08-22,"GP117F",3609.4,"TMB"
2023-08-23,"GP097F",1932.3,"TMB"
2023-08-23,"GP090F",3151,"TMB"
2023-08-23,"GP091F",2745.8,"TMB"
2023-08-23,"GP079F",2631.2,"TMB"
2023-08-23,"GP104F",2274.9,"TMB"
2023-08-23,"GP140F",4092,"TMB"
2023-08-23,"GP132F",3020.1,"TMB"
2023-08-23,"GP119F",2178.9,"TMB"
2023-08-24,"GP108FR1",2497.2,"TMB"
2023-08-24,"GP102F",3624.3,"TMB"
2023-08-24,"GP093F",2977.6,"TMB"
2023-08-24,"GP095F",3617.1,"TMB"
2023-08-24,"GP111F",3573.5,"TMB"
2023-08-24,"GP110FR1",3215,"TMB"
2023-08-24,"GP129F",2813.7,"TMB"
2023-08-24,"GP144F",2682.1,"TMB"
2023-08-24,"GP136F",2800.9,"TMB"
2023-08-24,"GP135F",3455,"TMB"
2023-08-24,"GP131F",3767.1,"TMB"
2023-08-25,"GP279F",3126.5,"TMB"
2023-08-25,"GP275F",2639.5,"TMB"
2023-08-25,"GP291F",3064.5,"TMB"
2023-08-25,"GP296F",2900.8,"TMB"
2023-08-25,"GP297F",2324.8,"TMB"
2023-08-25,"GP285F",2304.6,"TMB"
2023-08-28,"GP137F",2984.3,"TMB"
2023-08-28,"GP145F",3401.3,"TMB"
2023-08-28,"GP155F",2804.5,"TMB"
2023-08-28,"GP171F",2399.3,"TMB"
2023-08-28,"GP173F",2800.7,"TMB"
2023-08-28,"GP167F",2537.7,"TMB"
2023-08-28,"GP186F",2719.6,"TMB"
2023-08-28,"GP182F",2767.7,"TMB"
2023-08-28,"GP194F",3140.4,"TMB"
2023-08-28,"GP199F",3356.6,"TMB"
2023-08-29,"GP333F",3585.3,"TMB"
2023-08-29,"GP337F",2808.4,"TMB"
2023-08-29,"GP345F",2209.9,"TMB"
2023-08-29,"GP355FR2",3583.7,"TMB"
2023-08-29,"GP347F",2385.9,"TMB"
2023-08-29,"GP349F",2255.4,"TMB"
2023-08-29,"GP348F",1903.4,"TMB"
2023-08-29,"GP343F",2723.8,"TMB"
2023-08-30,"GP311F",3152.1,"TMB"
2023-08-30,"GP329F",2962,"TMB"
2023-08-30,"GP339F",2797.2,"TMB"
2023-08-30,"GP340F",2986,"TMB"
2023-08-30,"GP338F",2683.4,"TMB"
2023-08-30,"GP332F",2949.4,"TMB"
2023-09-01,"GP305F",3039.8,"TMB"
2023-09-01,"GP319F",2963.9,"TMB"
2023-09-01,"GP336F",2906.5,"TMB"
2023-09-01,"GP330F",3348.6,"TMB"
2023-09-01,"GP318F",3244.5,"TMB"
2023-09-01,"GP322F",3389,"TMB"
2023-09-01,"GP327F",2630.3,"TMB"
2023-09-01,"GP317F",2792.5,"TMB"
2023-09-01,"GP307F",3165.6,"TMB"
2023-09-01,"GP309F",2831.4,"TMB"
2023-09-02,"GP302F",3483.5,"TMB"
2023-09-02,"GP304F",3022.4,"TMB"
2023-09-02,"GP299F",2994.2,"TMB"
2023-09-02,"GP288F",2978.2,"TMB"
2023-09-02,"GP283FR1",3269.1,"TMB"
2023-09-02,"GP268F",2867.7,"TMB"
2023-09-02,"GP274F",2383.6,"TMB"
2023-09-02,"GP272F",2562.5,"TMB"
2023-09-02,"GP267F",2988.2,"TMB"
2023-09-02,"GP254F",1854.4,"TMB"
2023-09-02,"GP256F",1922.4,"TMB"
2023-09-03,"GP241F",3043.6,"TMB"
2023-09-03,"GP231F",1949.7,"TMB"
2023-09-03,"GP238F",2941.1,"TMB"
2023-09-03,"GP262F",2042.5,"TMB"
2023-09-03,"GP266F",1706.1,"TMB"
2023-09-03,"GP264F",1716.7,"TMB"
2023-09-03,"GP270F",2249.2,"TMB"
2023-09-03,"GP271F",2109.8,"TMB"
2023-09-03,"GP277F",2463.7,"TMB"
2023-09-03,"GP294F",2700,"TMB"
2023-09-03,"GP284F",2766.8,"TMB"
2023-09-03,"GP276F",3666.9,"TMB"
2023-09-04,"GP280F",1927.9,"TMB"
2023-09-04,"GP289F",2817.1,"TMB"
2023-09-04,"GP301F",2830.7,"TMB"
2023-09-04,"GP298F",3160.4,"TMB"
2023-09-04,"GP306F",2638.7,"TMB"
2023-09-04,"GP286F",2967.1,"TMB"
